[11/10/2016 11:48:07]  Starting Greedy Search
[11/10/2016 11:48:07]  Child Node :: Cost - 12	 Move - l	 PlayerPos - (1, 4) :: Redundant
[11/10/2016 11:48:07]  Dequeued :: Cost - 12	 Move - r	 PlayerPos - (3, 4) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 13	 Move - r	 PlayerPos - (4, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 13	 Move - d	 PlayerPos - (3, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 13	 Move - l	 PlayerPos - (2, 4) :: Redundant
[11/10/2016 11:48:07]  Dequeued :: Cost - 13	 Move - d	 PlayerPos - (3, 5) :: Deadlock
[11/10/2016 11:48:07]  Dequeued :: Cost - 13	 Move - r	 PlayerPos - (4, 4) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 14	 Move - u	 PlayerPos - (4, 3) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 14	 Move - r	 PlayerPos - (5, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 14	 Move - d	 PlayerPos - (4, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 14	 Move - l	 PlayerPos - (3, 4) :: Redundant
[11/10/2016 11:48:07]  Dequeued :: Cost - 14	 Move - d	 PlayerPos - (4, 5) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 15	 Move - u	 PlayerPos - (4, 4) :: Redundant
[11/10/2016 11:48:07]  Child Node :: Cost - 15	 Move - r	 PlayerPos - (5, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 15	 Move - d	 PlayerPos - (4, 6) :: Added to Fringe
[11/10/2016 11:48:07]  Dequeued :: Cost - 12	 Move - r	 PlayerPos - (5, 4) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 13	 Move - u	 PlayerPos - (5, 3) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 13	 Move - d	 PlayerPos - (5, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 13	 Move - l	 PlayerPos - (4, 4) :: Redundant
[11/10/2016 11:48:07]  Dequeued :: Cost - 13	 Move - u	 PlayerPos - (5, 3) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 14	 Move - u	 PlayerPos - (5, 2) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 14	 Move - d	 PlayerPos - (5, 4) :: Redundant
[11/10/2016 11:48:07]  Dequeued :: Cost - 13	 Move - d	 PlayerPos - (5, 5) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 14	 Move - u	 PlayerPos - (5, 4) :: Redundant
[11/10/2016 11:48:07]  Child Node :: Cost - 14	 Move - d	 PlayerPos - (5, 6) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 14	 Move - l	 PlayerPos - (4, 5) :: Redundant
